Start Date;Start Hour;End Date;End Hour;Maneuver Duration;Data available;Satellite;Maneuver;Maneuver Type;Propellant Type;Propellant subtype;Propellant Name
03/05/2010;17:55:05;04/05/2010;00:35:17;06:40:12;All data available;CRYOSAT2;Maneuver;Orbit Maintenance Maneuver;Gas;Cold Gas;N2
04/05/2010;18:38:33;04/05/2010;18:48:33;00:10:00;All data available;CRYOSAT2;Maneuver;Orbit Maintenance Maneuver;Gas;Cold Gas;N2
05/05/2010;17:44:15;05/05/2010;17:59:16;00:15:01;All data available;CRYOSAT2;Maneuver;Orbit Maintenance Maneuver;Gas;Cold Gas;N2
06/05/2010;18:26:39;06/05/2010;18:51:40;00:25:01;All data available;CRYOSAT2;Maneuver;Orbit Maintenance Maneuver;Gas;Cold Gas;N2
18/05/2010;00:42:56;18/05/2010;04:16:14;03:33:18;All data available;CRYOSAT2;Maneuver;Orbit Maintenance Maneuver;Gas;Cold Gas;N2
18/05/2010;23:51:10;19/05/2010;03:24:28;03:33:18;All data available;CRYOSAT2;Maneuver;Orbit Maintenance Maneuver;Gas;Cold Gas;N2
20/05/2010;23:46:53;21/05/2010;00:02:07;00:15:14;All data available;CRYOSAT2;Maneuver;Orbit Maintenance Maneuver;Gas;Cold Gas;N2
20/05/2010;00:38:38;20/05/2010;04:11:56;03:33:18;All data available;CRYOSAT2;Maneuver;Orbit Maintenance Maneuver;Gas;Cold Gas;N2
27/05/2010;00:27:45;27/05/2010;04:01:31;03:33:46;All data available;CRYOSAT2;Maneuver;Orbit Maintenance Maneuver;Gas;Cold Gas;N2
28/05/2010;01:14:57;28/05/2010;04:51:37;03:36:40;All data available;CRYOSAT2;Maneuver;Orbit Maintenance Maneuver;Gas;Cold Gas;N2
15/06/2010;03:02:31;15/06/2010;03:15:14;00:12:43;All data available;CRYOSAT2;Maneuver;Orbit Maintenance Maneuver;Gas;Cold Gas;N2
18/06/2010;01:14:35;18/06/2010;01:15:15;00:00:40;All data available;CRYOSAT2;Maneuver;Orbit Maintenance Maneuver;Gas;Cold Gas;N2
20/07/2010;12:37:33;20/07/2010;12:37:35;00:00:02;All data available;CRYOSAT2;Maneuver;Orbit Maintenance Maneuver;Gas;Cold Gas;N2
02/10/2010;03:01:16;02/10/2010;07:31:56;04:30:40;All data available;CRYOSAT2;Maneuver;Orbit Maintenance Maneuver;Gas;Cold Gas;N2
28/10/2010;06:33:13;28/10/2010;06:33:48;00:00:35;All data available;CRYOSAT2;Maneuver;Orbit Maintenance Maneuver;Gas;Cold Gas;N2
16/12/2010;03:07:18;16/12/2010;03:09:54;00:02:36;All data available;CRYOSAT2;Maneuver;Orbit Maintenance Maneuver;Gas;Cold Gas;N2
21/01/2011;10:05:14;21/01/2011;10:07:48;00:02:34;All data available;CRYOSAT2;Maneuver;Orbit Maintenance Maneuver;Gas;Cold Gas;N2
11/03/2011;08:19:53;11/03/2011;08:22:05;00:02:12;All data available;CRYOSAT2;Maneuver;Orbit Maintenance Maneuver;Gas;Cold Gas;N2
14/04/2011;09:34:14;14/04/2011;09:38:14;00:04:00;All data available;CRYOSAT2;Maneuver;Orbit Maintenance Maneuver;Gas;Cold Gas;N2
01/06/2011;06:13:25;01/06/2011;06:14:23;00:00:58;All data available;CRYOSAT2;Maneuver;Orbit Maintenance Maneuver;Gas;Cold Gas;N2
28/07/2011;04:25:14;28/07/2011;04:28:17;00:03:03;All data available;CRYOSAT2;Maneuver;Orbit Maintenance Maneuver;Gas;Cold Gas;N2
01/09/2011;11:13:43;01/09/2011;11:16:35;00:02:52;All data available;CRYOSAT2;Maneuver;Orbit Maintenance Maneuver;Gas;Cold Gas;N2
29/09/2011;08:29:59;29/09/2011;08:33:03;00:03:04;All data available;CRYOSAT2;Maneuver;Orbit Maintenance Maneuver;Gas;Cold Gas;N2
21/10/2011;09:21:26;21/10/2011;09:25:24;00:03:58;All data available;CRYOSAT2;Maneuver;Orbit Maintenance Maneuver;Gas;Cold Gas;N2
09/11/2011;12:47:24;09/11/2011;12:53:11;00:05:47;All data available;CRYOSAT2;Maneuver;Orbit Maintenance Maneuver;Gas;Cold Gas;N2
29/11/2011;07:07:14;29/11/2011;07:12:02;00:04:48;All data available;CRYOSAT2;Maneuver;Orbit Maintenance Maneuver;Gas;Cold Gas;N2
21/12/2011;09:39:07;21/12/2011;09:41:49;00:02:42;All data available;CRYOSAT2;Maneuver;Orbit Maintenance Maneuver;Gas;Cold Gas;N2
16/02/2012;06:47:00;16/02/2012;06:49:43;00:02:43;All data available;CRYOSAT2;Maneuver;Orbit Maintenance Maneuver;Gas;Cold Gas;N2
15/03/2012;14:02:14;15/03/2012;14:04:54;00:02:40;All data available;CRYOSAT2;Maneuver;Orbit Maintenance Maneuver;Gas;Cold Gas;N2
22/03/2012;14:37:24;22/03/2012;14:38:44;00:01:20;All data available;CRYOSAT2;Maneuver;Orbit Maintenance Maneuver;Gas;Cold Gas;N2
19/04/2012;11:57:09;19/04/2012;11:59:49;00:02:40;All data available;CRYOSAT2;Maneuver;Orbit Maintenance Maneuver;Gas;Cold Gas;N2
15/05/2012;11:00:53;15/05/2012;11:03:42;00:02:49;All data available;CRYOSAT2;Maneuver;Orbit Maintenance Maneuver;Gas;Cold Gas;N2
12/06/2012;09:59:43;12/06/2012;10:03:46;00:04:03;All data available;CRYOSAT2;Maneuver;Orbit Maintenance Maneuver;Gas;Cold Gas;N2
12/07/2012;08:56:48;12/07/2012;08:57:43;00:00:55;All data available;CRYOSAT2;Maneuver;Orbit Maintenance Maneuver;Gas;Cold Gas;N2
26/07/2012;06:47:24;26/07/2012;06:48:34;00:01:10;All data available;CRYOSAT2;Maneuver;Orbit Maintenance Maneuver;Gas;Cold Gas;N2
13/08/2012;07:16:54;13/08/2012;07:17:40;00:00:46;All data available;CRYOSAT2;Maneuver;Orbit Maintenance Maneuver;Gas;Cold Gas;N2
20/09/2012;08:03:40;20/09/2012;08:06:41;00:03:01;All data available;CRYOSAT2;Maneuver;Orbit Maintenance Maneuver;Gas;Cold Gas;N2
18/10/2012;07:03:00;18/10/2012;07:06:28;00:03:28;All data available;CRYOSAT2;Maneuver;Orbit Maintenance Maneuver;Gas;Cold Gas;N2
29/11/2012;12:09:01;29/11/2012;12:12:39;00:03:38;All data available;CRYOSAT2;Maneuver;Orbit Maintenance Maneuver;Gas;Cold Gas;N2
09/01/2013;21:24:21;09/01/2013;21:28:50;00:04:29;All data available;CRYOSAT2;Maneuver;Orbit Maintenance Maneuver;Gas;Cold Gas;N2
31/01/2013;10:42:52;31/01/2013;10:45:11;00:02:19;All data available;CRYOSAT2;Maneuver;Orbit Maintenance Maneuver;Gas;Cold Gas;N2
07/03/2013;08:37:46;07/03/2013;08:39:48;00:02:02;All data available;CRYOSAT2;Maneuver;Orbit Maintenance Maneuver;Gas;Cold Gas;N2
04/04/2013;12:34:30;04/04/2013;12:37:24;00:02:54;All data available;CRYOSAT2;Maneuver;Orbit Maintenance Maneuver;Gas;Cold Gas;N2
