
 |                                        | 0.0% 0/30 | Loss 2865.6104 | F2: 0.06681243926141886 | Recall: 0.057291666666666664 | Precision: 0.19927536231884058
 |=                                       | 3.3% 1/30 | Loss 2845.6179 | F2: 0.06690997566909974 | Recall: 0.057291666666666664 | Precision: 0.2037037037037037
 |==                                      | 6.7% 2/30 | Loss 2830.5732 | F2: 0.06694255111976631 | Recall: 0.057291666666666664 | Precision: 0.20522388059701493
 |====                                    | 10.0% 3/30 | Loss 2813.3225 | F2: 0.06690997566909974 | Recall: 0.057291666666666664 | Precision: 0.2037037037037037
 |=====                                   | 13.3% 4/30 | Loss 2795.2664 | F2: 0.06684491978609625 | Recall: 0.057291666666666664 | Precision: 0.20072992700729927
 |======                                  | 16.7% 5/30 | Loss 2776.4944 | F2: 0.06686117189399465 | Recall: 0.057291666666666664 | Precision: 0.20146520146520147
 |========                                | 20.0% 6/30 | Loss 2755.9766 | F2: 0.06679621083313092 | Recall: 0.057291666666666664 | Precision: 0.19855595667870035
 |=========                               | 23.3% 7/30 | Loss 2735.6628 | F2: 0.06679621083313092 | Recall: 0.057291666666666664 | Precision: 0.19855595667870035
 |==========                              | 26.7% 8/30 | Loss 2718.3857 | F2: 0.06671518680252306 | Recall: 0.057291666666666664 | Precision: 0.1950354609929078
 |============                            | 30.0% 9/30 | Loss 2701.1946 | F2: 0.06668283220174587 | Recall: 0.057291666666666664 | Precision: 0.1936619718309859
 |=============                           | 33.3% 10/30 | Loss 2685.3984 | F2: 0.0666020828287721 | Recall: 0.057291666666666664 | Precision: 0.1903114186851211
 |==============                          | 36.7% 11/30 | Loss 2670.8279 | F2: 0.06892382103990327 | Recall: 0.059375 | Precision: 0.19322033898305085
 |================                        | 40.0% 12/30 | Loss 2656.7700 | F2: 0.06774739898378901 | Recall: 0.058333333333333334 | Precision: 0.19112627986348124
 |=================                       | 43.3% 13/30 | Loss 2643.1897 | F2: 0.06774739898378901 | Recall: 0.058333333333333334 | Precision: 0.19112627986348124
 |==================                      | 46.7% 14/30 | Loss 2658.0647 | F2: 0.06774739898378901 | Recall: 0.058333333333333334 | Precision: 0.19112627986348124
 |====================                    | 50.0% 15/30 | Loss 2640.6543 | F2: 0.06784589290041192 | Recall: 0.058333333333333334 | Precision: 0.1951219512195122
 |=====================                   | 53.3% 16/30 | Loss 2628.4543 | F2: 0.06787878787878787 | Recall: 0.058333333333333334 | Precision: 0.19649122807017544
 |======================                  | 56.7% 17/30 | Loss 2607.1423 | F2: 0.06776379477250725 | Recall: 0.058333333333333334 | Precision: 0.1917808219178082
 |========================                | 60.0% 18/30 | Loss 2594.8994 | F2: 0.06776379477250725 | Recall: 0.058333333333333334 | Precision: 0.1917808219178082
 |=========================               | 63.3% 19/30 | Loss 2603.0691 | F2: 0.06989636056881175 | Recall: 0.06041666666666667 | Precision: 0.18770226537216828
 |==========================              | 66.7% 20/30 | Loss 2588.7456 | F2: 0.06875753920386007 | Recall: 0.059375 | Precision: 0.18688524590163935
 |============================            | 70.0% 21/30 | Loss 2577.2678 | F2: 0.0709305121423419 | Recall: 0.06145833333333333 | Precision: 0.18495297805642633
 |=============================           | 73.3% 22/30 | Loss 2562.5906 | F2: 0.0742337164750958 | Recall: 0.06458333333333334 | Precision: 0.18452380952380953
 |==============================          | 76.7% 23/30 | Loss 2589.2070 | F2: 0.06874095513748191 | Recall: 0.059375 | Precision: 0.18627450980392157
 |================================        | 80.0% 24/30 | Loss 2568.8369 | F2: 0.06987951807228916 | Recall: 0.06041666666666667 | Precision: 0.1870967741935484
 |=================================       | 83.3% 25/30 | Loss 2560.3726 | F2: 0.0697786333012512 | Recall: 0.06041666666666667 | Precision: 0.18354430379746836
 |==================================      | 86.7% 26/30 | Loss 2548.8542 | F2: 0.07617233991906688 | Recall: 0.06666666666666667 | Precision: 0.1772853185595568
 |====================================    | 90.0% 27/30 | Loss 2535.2534 | F2: 0.07575757575757576 | Recall: 0.06666666666666667 | Precision: 0.16666666666666666
 |=====================================   | 93.3% 28/30 | Loss 2531.5164 | F2: 0.08085305835481602 | Recall: 0.071875 | Precision: 0.16159250585480095
 |======================================  | 96.7% 29/30 | Loss 2637.6970 | F2: 0.06996381182147166 | Recall: 0.06041666666666667 | Precision: 0.1901639344262295
